chapter1/arithmetic.c                    pg 37
chapter7/sockets/server2.c               pgs 248-249
chapter7/sockets/socket.c                pg 240
chapter8/headers.c                       pgs 257-259
chapter8/problem4.c                      pg 292
chapter8/sq.c                            pgs 271-272
chapter8/curses/blocking2.c              pg 270
chapter8/curses/blocking.c               pgs 269-270
chapter8/curses/buffer.c                 pg 268
chapter8/curses/echo.c                   pgs 268-269
chapter8/curses/hello.c                  pg 266
chapter8/curses/motion.c                 pg 271
chapter8/curses/polling.c                pg 273
chapter8/curses/vartiming.c              pg 274
chapter8/X11/events1.c                   pg 284
chapter8/X11/events2.c                   pg 285
chapter8/X11/events3.c                   pgs 285-286
chapter8/X11/fonts1.c                    pgs 286-287
chapter8/X11/fonts_search.c              pg 288
chapter8/X11/lines1.c                    pgs 280-281
chapter8/X11/lines2.c                    pgs 282-283
chapter8/X11/window.c                    pgs 278-279
chapter9/bourne/backquotes.sh            pg 315
chapter9/bourne/expr1.sh                 pg 315
chapter9/bourne/expr2.sh                 pg 316
chapter9/bourne/foods2.sh                pg 307
chapter9/bourne/foods.sh                 pg 306
chapter9/bourne/if1.sh                   pg 311
chapter9/bourne/if2.sh                   pg 312
chapter9/bourne/if3.sh                   pg 312
chapter9/bourne/if4.sh                   pg 313
chapter9/bourne/if5.sh                   pg 313-314
chapter9/bourne/if6.sh                   pg 314
chapter9/bourne/loop1.sh                 pg 310
chapter9/bourne/loop2.sh                 pg 311
chapter9/bourne/rocks.sh                 pg 308
chapter9/bourne/sizes.sh                 pg 318
chapter9/bourne/symbols.sh               pg 308
chapter9/bourne/upper.sh                 pg 317
chapter9/bourne/vars.sh                  pg 309
chapter9/intro/dirsize.pl                pg 302
chapter9/intro/error.pl                  pg 304
chapter9/intro/hello.pl                  pg 303
chapter9/intro/hello.py                  pg 305
chapter9/intro/hello.sh                  pg 305
chapter9/matlab/find.m                   pg 343
chapter9/matlab/fprintf.m                pg 337
chapter9/matlab/if1.m                    pg 342
chapter9/matlab/intro1.m                 pg 335
chapter9/matlab/io1.m                    pg 335
chapter9/matlab/loops1.m                 pg 341
chapter9/matlab/makedata.m               pg 337
chapter9/matlab/math-ops.m               pgs 343-344
chapter9/matlab/matrix-ops1.m            pgs 341-342
chapter9/matlab/matrix-ops2.m            pg 343
chapter9/matlab/plot1.m                  pg 345
chapter9/matlab/plot2.m                  pg 345
chapter9/matlab/plot3.m                  pg 346
chapter9/matlab/readfile1.m              pg 338
chapter9/matlab/readfile2.m              pg 338
chapter9/matlab/vars1.m                  pg 339
chapter9/matlab/vars2.m                  pg 339
chapter9/matlab/vars3.m                  pgs 339-340
chapter9/matlab/vars4.m                  pg 340
chapter9/perl/animals1.pl                pg 321
chapter9/perl/animals2.pl                pg 321
chapter9/perl/animals3.pl                pg 322
chapter9/perl/default2.pl                pg 328
chapter9/perl/de-html.pl                 pg 332
chapter9/perl/if1.pl                     pgs 328-329
chapter9/perl/loops1.pl                  pg 326
chapter9/perl/loops2.pl                  pg 327
chapter9/perl/makedata.pl                pg 322-323
chapter9/perl/pattern1.pl                pg 329
chapter9/perl/pattern2.pl                pg 330
chapter9/perl/pattern3.pl                pgs 330-331
chapter9/perl/pattern4.pl                pg 331
chapter9/perl/readdata.pl                pg 323
chapter9/perl/vars1.pl                   pgs 323-324
chapter9/perl/vars2.pl                   pg 324
chapter9/perl/vars3.pl                   pgs 324-325
chapter9/perl/vars4.pl                   pg 325
chapter9/perl/vars5.pl                   pgs 325-326
